project_id,file_path,class_name,method_signature,source_hash,feature_schema_version,extractor_version,wmc,cbo,lcom,rfc,dit,loc,cc_max,nom,nof,cida,coa,method_loc_max,method_loc_avg,method_param_max,foreign_method_calls,foreign_field_accesses,local_field_accesses,accessed_foreign_class_count,envy_method_ratio,jdeodorant_signal,iplasma_signal,designite_signal,jspirit_signal,code_churn,volatility,bug_fix_ratio,author_count,hotspot_proxy,evolution_intensity
git@github.com:apache/tez.git,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java,UnorderedPartitionedKVWriter,org.apache.tez.runtime.library.common.writers.UnorderedPartitionedKVWriter,1ff8064d33520c0b40dfc65b58e9b226aa25a859332838c2c287e6527565a280,backd00r-29-v2,raw-java-regex-v2,47.0,145.0,0.7320261437908497,42.0,1.0,1073.0,7.0,18.0,165.0,1.0,0.15591397849462366,33.0,8.833333333333334,4.0,24.0,5.0,157.0,14.0,0.0,0.0,0.0,0.0,0.0,2281.0,2.399942445543874,0.04878048780487805,10.0,0.0,0.0
git@github.com:apache/tika.git,/tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java,TesseractOCRConfig,org.apache.tika.parser.ocr.TesseractOCRConfig#getImageMagickPath,246755da59aee86afa5ac19707bec0da35f9172055c608963ae98def8a29ce49,backd00r-29-v2,raw-java-regex-v2,82.0,42.0,0.9458937198067633,55.0,0.0,331.0,5.0,46.0,22.0,1.0,0.06382978723404255,48.0,4.456521739130435,3.0,9.0,0.0,132.0,5.0,0.021739130434782608,0.0,0.0,0.0,0.0,1715.0,2.4326476803509474,0.35714285714285715,11.0,0.0,0.0
git@github.com:apache/tez.git,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java,ShuffleHeader,org.apache.tez.runtime.library.common.shuffle.orderedgrouped.ShuffleHeader#writeLength,14fc8ebc998d5475c89877b9548c39df099a196484c241cbe7988cf75be77753,backd00r-29-v2,raw-java-regex-v2,4.0,10.0,1.0,4.0,0.0,51.0,1.0,4.0,12.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.7735849056603774,0.0,2.0,0.0,0.0
git@github.com:apache/tika.git,/tika-core/src/main/java/org/apache/tika/parser/multiple/SupplementingParser.java,SupplementingParser,org.apache.tika.parser.multiple.SupplementingParser,0ad51bc96f19af37affe249da8ecbaf27b2a226d3ca9d6cb42746d4abe63a138,backd00r-29-v2,raw-java-regex-v2,2.0,16.0,0.0,1.0,1.0,27.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1.8416247263362482,0.0,2.0,0.0,0.0
git@github.com:apache/tapestry-5.git,/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/RequestSecurityManagerImpl.java,RequestSecurityManagerImpl,org.apache.tapestry5.internal.services.RequestSecurityManagerImpl,a064f767983fc3135d6db514db5bc7d55b345a72f77a2b313869a4c7f5eadc76,backd00r-29-v2,raw-java-regex-v2,8.0,18.0,0.6666666666666667,7.0,0.0,66.0,4.0,3.0,10.0,1.0,0.2857142857142857,13.0,8.0,1.0,4.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,278.0,0.8696856850774491,0.0,3.0,0.0,0.0
git@github.com:apache/tapestry-5.git,/tapestry-core/src/main/java/org/apache/tapestry5/corelib/base/AbstractConditional.java,AbstractConditional,org.apache.tapestry5.corelib.base.AbstractConditional,4f8dc7fb1bf5d7d608923f8766a973a39bf29bf5f06eae3383fcdeb538b744a7,backd00r-29-v2,raw-java-regex-v2,0.0,7.0,0.0,0.0,0.0,31.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,1.2933799258737013,0.0,4.0,0.0,0.0
git@github.com:apache/tapestry-5.git,/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/util/Printer.java,Printer,org.apache.tapestry5.internal.plastic.asm.util.Printer#visitMethodTypeAnnotation int|TypePath|String|boolean,8b945a0f3e925fa69be31642d5a21a49c7c28386d2de5236bdca7f257620203a,backd00r-29-v2,raw-java-regex-v2,40.0,245.0,0.34769230769230774,39.0,0.0,465.0,10.0,26.0,8.0,1.0,0.24528301886792453,26.0,2.730769230769231,7.0,13.0,0.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,4291.0,0.7592160415127127,0.0,4.0,0.0,0.0
git@github.com:apache/tapestry-5.git,/tapestry-core/src/main/java/org/apache/tapestry5/dom/Html5MarkupModel.java,Html5MarkupModel boolean,org.apache.tapestry5.dom.Html5MarkupModel.Html5MarkupModel boolean,89f8aaf19e4b4057aaed373b5fcdfe891667fb27bf775270a7b6d40570e59da9,backd00r-29-v2,raw-java-regex-v2,2.0,5.0,1.0,2.0,1.0,19.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,1.0,0.0,0.0
git@github.com:apache/tapestry-5.git,/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/tree/analysis/SourceValue.java,SourceValue,org.apache.tapestry5.internal.plastic.asm.tree.analysis.SourceValue#getSize,f8d35aef7e48d875be7df9485aa84f4994619c1f56ba721cbf173842683ffa31,backd00r-29-v2,raw-java-regex-v2,4.0,4.0,0.33333333333333337,5.0,0.0,29.0,2.0,3.0,2.0,1.0,0.25,5.0,2.3333333333333335,1.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,465.0,0.3067589479457064,0.0,4.0,0.0,0.0
git@github.com:apache/unomi.git,/persistence-elasticsearch/core/src/main/java/org/apache/unomi/persistence/elasticsearch/ElasticSearchPersistenceServiceImpl.java,ElasticSearchPersistenceServiceImpl,org.apache.unomi.persistence.elasticsearch.ElasticSearchPersistenceServiceImpl#getPropertyMapping String|String,dfdde84273e257e8a040dc3ca2432de0aa8c87f5b432e184d008b23b158d1a79,backd00r-29-v2,raw-java-regex-v2,383.0,204.0,0.7956885456885456,502.0,0.0,1619.0,35.0,112.0,61.0,1.0,0.44724770642201833,128.0,13.169642857142858,7.0,390.0,0.0,482.0,55.0,0.13392857142857142,0.0,0.0,0.0,0.0,4408.0,2.734372682430659,0.24285714285714285,8.0,0.0,0.0
