sample_id,label,binary_target,severity_ordinal,repository,commit_hash,path,start_line,end_line,code_name
5771277,FEATURE_ENVY,0,0,git@github.com:apache/syncope.git,114c412afbfba24ffb4fbc804e5308a823a16a78,/client/idrepo/ui/src/main/java/org/apache/syncope/client/ui/commons/ConnIdSpecialName.java,35,37,org.apache.syncope.client.ui.commons.ConnIdSpecialName.ConnIdSpecialName
5771277,LONG_METHOD,0,0,git@github.com:apache/syncope.git,114c412afbfba24ffb4fbc804e5308a823a16a78,/client/idrepo/ui/src/main/java/org/apache/syncope/client/ui/commons/ConnIdSpecialName.java,35,37,org.apache.syncope.client.ui.commons.ConnIdSpecialName.ConnIdSpecialName
5786929,GOD_CLASS,1,3,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java,89,1427,org.apache.tez.runtime.library.common.writers.UnorderedPartitionedKVWriter
5788107,FEATURE_ENVY,0,0,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468,/tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java,531,534,org.apache.tika.parser.ocr.TesseractOCRConfig#getImageMagickPath
5788107,LONG_METHOD,0,0,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468,/tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java,531,534,org.apache.tika.parser.ocr.TesseractOCRConfig#getImageMagickPath
5788583,LONG_METHOD,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java,88,99,org.apache.tez.runtime.library.common.shuffle.orderedgrouped.ShuffleHeader#writeLength
5788583,FEATURE_ENVY,0,0,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java,88,99,org.apache.tez.runtime.library.common.shuffle.orderedgrouped.ShuffleHeader#writeLength
5789396,GOD_CLASS,0,0,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468,/tika-core/src/main/java/org/apache/tika/parser/multiple/SupplementingParser.java,43,85,org.apache.tika.parser.multiple.SupplementingParser
5799314,GOD_CLASS,0,0,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/RequestSecurityManagerImpl.java,26,126,org.apache.tapestry5.internal.services.RequestSecurityManagerImpl
5799022,GOD_CLASS,0,0,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,/tapestry-core/src/main/java/org/apache/tapestry5/corelib/base/AbstractConditional.java,32,96,org.apache.tapestry5.corelib.base.AbstractConditional
